Entity,Code,Year,Annual COâ‚‚ emissions
Africa,,1965,213634400
Africa,,1966,221082100
Africa,,1967,237045200
Africa,,1968,257271420
Africa,,1969,277716580
Africa,,1970,302405900
Africa,,1971,331612900
Africa,,1972,351688000
Africa,,1973,377821120
Africa,,1974,388183260
Africa,,1975,387017150
Africa,,1976,419914700
Africa,,1977,432918820
Africa,,1978,462338660
Africa,,1979,498986780
Africa,,1980,536023460
Africa,,1981,548882300
Africa,,1982,571969100
Africa,,1983,594811400
Africa,,1984,649591230
Africa,,1985,666141950
Africa,,1986,690176300
Africa,,1987,690283140
Africa,,1988,725373250
Africa,,1989,698582900
Africa,,1990,658343900
Africa,,1991,687670400
Africa,,1992,666660030
Africa,,1993,706441700
Africa,,1994,790233800
Africa,,1995,844549400
Africa,,1996,872284300
Africa,,1997,893938400
Africa,,1998,912482100
Africa,,1999,899879040
Africa,,2000,930850800
Africa,,2001,920601800
Africa,,2002,899995840
Africa,,2003,989644600
Africa,,2004,1045725800
Africa,,2005,1059372350
Africa,,2006,1091175800
Africa,,2007,1116900100
Africa,,2008,1174755200
Africa,,2009,1168250400
Africa,,2010,1216669000
Africa,,2011,1257421000
Africa,,2012,1268948200
Africa,,2013,1282541800
Africa,,2014,1357348700
Africa,,2015,1332661800
Africa,,2016,1375131500
Africa,,2017,1393216400
Africa,,2018,1386654300
Africa,,2019,1479411800
Africa,,2020,1355782400
Africa,,2021,1441534000
Africa,,2022,1432502900
Africa,,2023,1418739200
Asia,,1965,1649873200
Asia,,1966,1797063400
Asia,,1967,1825098400
Asia,,1968,2015995900
Asia,,1969,2289411600
Asia,,1970,2697750500
Asia,,1971,2953393200
Asia,,1972,3129125400
Asia,,1973,3351564000
Asia,,1974,3411198700
Asia,,1975,3577896700
Asia,,1976,3803974700
Asia,,1977,4048552200
Asia,,1978,4230988500
Asia,,1979,4405182000
Asia,,1980,4399586300
Asia,,1981,4373089000
Asia,,1982,4522608000
Asia,,1983,4704944600
Asia,,1984,4979161600
Asia,,1985,5269918000
Asia,,1986,5495256600
Asia,,1987,5730537000
Asia,,1988,6189667000
Asia,,1989,6405748700
Asia,,1990,6584307700
Asia,,1991,7361137700
Asia,,1992,7209855500
Asia,,1993,7540910600
Asia,,1994,7895757000
Asia,,1995,8265562000
Asia,,1996,8605014000
Asia,,1997,8723257000
Asia,,1998,8481060000
Asia,,1999,8971640000
Asia,,2000,9336837000
Asia,,2001,9521610000
Asia,,2002,10040596000
Asia,,2003,11046249000
Asia,,2004,11699783000
Asia,,2005,12552623000
Asia,,2006,13404329000
Asia,,2007,14136139000
Asia,,2008,14858406000
Asia,,2009,15394145000
Asia,,2010,16554266000
Asia,,2011,17787420000
Asia,,2012,18455440000
Asia,,2013,18692012000
Asia,,2014,18940043000
Asia,,2015,19047487000
Asia,,2016,19192705000
Asia,,2017,19737522000
Asia,,2018,20335524000
Asia,,2019,20889145000
Asia,,2020,20634851000
Asia,,2021,21640397000
Asia,,2022,21815757000
Asia,,2023,22600220000
Europe,,1965,4982210600
Europe,,1966,5153738000
Europe,,1967,5267683000
Europe,,1968,5513143300
Europe,,1969,5813301000
Europe,,1970,6095201300
Europe,,1971,6324005000
Europe,,1972,6552929000
Europe,,1973,6845589500
Europe,,1974,6863869400
Europe,,1975,6903233000
Europe,,1976,7277801000
Europe,,1977,7334161400
Europe,,1978,7566619600
Europe,,1979,7746167300
Europe,,1980,7750178300
Europe,,1981,7468538400
Europe,,1982,7408562000
Europe,,1983,7415053000
Europe,,1984,7466038000
Europe,,1985,7791125000
Europe,,1986,7805436400
Europe,,1987,7825856000
Europe,,1988,7868776000
Europe,,1989,7833485000
Europe,,1990,8038270000
Europe,,1991,7738573000
Europe,,1992,7096633000
Europe,,1993,6806002700
Europe,,1994,6446057500
Europe,,1995,6423223300
Europe,,1996,6471548400
Europe,,1997,6266118000
Europe,,1998,6239436000
Europe,,1999,6156371000
Europe,,2000,6154300000
Europe,,2001,6280917000
Europe,,2002,6248751000
Europe,,2003,6389753300
Europe,,2004,6419040000
Europe,,2005,6422171600
Europe,,2006,6529996000
Europe,,2007,6473897500
Europe,,2008,6406544000
Europe,,2009,5892903000
Europe,,2010,6116593700
Europe,,2011,6045117000
Europe,,2012,5998561000
Europe,,2013,5841422300
Europe,,2014,5611030000
Europe,,2015,5616481300
Europe,,2016,5602061300
Europe,,2017,5635927000
Europe,,2018,5617016000
Europe,,2019,5436906000
Europe,,2020,5026315300
Europe,,2021,5304039400
Europe,,2022,5228870000
Europe,,2023,4993221000
North America,,1965,3771814000
North America,,1966,3956438000
North America,,1967,4127059700
North America,,1968,4289614300
North America,,1969,4501617000
North America,,1970,4862468000
North America,,1971,4915923000
North America,,1972,5161898500
North America,,1973,5397118500
North America,,1974,5251302000
North America,,1975,5128300000
North America,,1976,5434773500
North America,,1977,5591318500
North America,,1978,5677352400
North America,,1979,5792685600
North America,,1980,5620345000
North America,,1981,5494563300
North America,,1982,5262526500
North America,,1983,5202269700
North America,,1984,5460077000
North America,,1985,5463630000
North America,,1986,5448310300
North America,,1987,5654344000
North America,,1988,5903791600
North America,,1989,6015954400
North America,,1990,5988813000
North America,,1991,5934663700
North America,,1992,6060854300
North America,,1993,6165800400
North America,,1994,6289066000
North America,,1995,6349006000
North America,,1996,6569387500
North America,,1997,6686240300
North America,,1998,6757986300
North America,,1999,6853051400
North America,,2000,7098336000
North America,,2001,7009264600
North America,,2002,7060732000
North America,,2003,7174326000
North America,,2004,7274384000
North America,,2005,7321313000
North America,,2006,7258981400
North America,,2007,7363736000
North America,,2008,7131514000
North America,,2009,6649442000
North America,,2010,6863159300
North America,,2011,6765769000
North America,,2012,6581796000
North America,,2013,6716956700
North America,,2014,6754753000
North America,,2015,6604084700
North America,,2016,6467170000
North America,,2017,6417920000
North America,,2018,6597806000
North America,,2019,6493359000
North America,,2020,5826628600
North America,,2021,6192752600
North America,,2022,6267443000
North America,,2023,6123549700
Oceania,,1965,129477440
Oceania,,1966,132279140
Oceania,,1967,138611220
Oceania,,1968,145432300
Oceania,,1969,153718830
Oceania,,1970,166214060
Oceania,,1971,170642140
Oceania,,1972,174019410
Oceania,,1973,193619740
Oceania,,1974,190731230
Oceania,,1975,196819650
Oceania,,1976,194205660
Oceania,,1977,207571890
Oceania,,1978,213846820
Oceania,,1979,213960100
Oceania,,1980,227388100
Oceania,,1981,235791570
Oceania,,1982,241295580
Oceania,,1983,230603340
Oceania,,1984,241779620
Oceania,,1985,251881950
Oceania,,1986,252363400
Oceania,,1987,264348260
Oceania,,1988,271776800
Oceania,,1989,287940100
Oceania,,1990,309497760
Oceania,,1991,311622940
Oceania,,1992,318661220
Oceania,,1993,322915330
Oceania,,1994,328044930
Oceania,,1995,339531300
Oceania,,1996,348034700
Oceania,,1997,358496830
Oceania,,1998,371793120
Oceania,,1999,382561340
Oceania,,2000,390079870
Oceania,,2001,400357540
Oceania,,2002,405958000
Oceania,,2003,415715000
Oceania,,2004,429568640
Oceania,,2005,434553100
Oceania,,2006,440741250
Oceania,,2007,448667040
Oceania,,2008,453681630
Oceania,,2009,452965020
Oceania,,2010,451682000
Oceania,,2011,450399680
Oceania,,2012,453473280
Oceania,,2013,446240540
Oceania,,2014,442859330
Oceania,,2015,452078900
Oceania,,2016,460608160
Oceania,,2017,465369760
Oceania,,2018,468624000
Oceania,,2019,470051360
Oceania,,2020,449667040
Oceania,,2021,439661570
Oceania,,2022,433028500
Oceania,,2023,430302660
South America,,1965,240092670
South America,,1966,251989390
South America,,1967,267328100
South America,,1968,287605000
South America,,1969,311235260
South America,,1970,337826140
South America,,1971,346539170
South America,,1972,362556700
South America,,1973,392667400
South America,,1974,416530270
South America,,1975,411657630
South America,,1976,419328960
South America,,1977,434808350
South America,,1978,462110140
South America,,1979,494336160
South America,,1980,508353860
South America,,1981,489719070
South America,,1982,490869630
South America,,1983,485836380
South America,,1984,491463070
South America,,1985,501802700
South America,,1986,529758620
South America,,1987,557251900
South America,,1988,580266800
South America,,1989,579758200
South America,,1990,598211000
South America,,1991,605972700
South America,,1992,618012400
South America,,1993,652645700
South America,,1994,655496600
South America,,1995,689449860
South America,,1996,719744800
South America,,1997,766816900
South America,,1998,791003650
South America,,1999,812984400
South America,,2000,812433540
South America,,2001,792002600
South America,,2002,819945500
South America,,2003,820535700
South America,,2004,856858900
South America,,2005,881497200
South America,,2006,909106400
South America,,2007,943890700
South America,,2008,987698940
South America,,2009,961250200
South America,,2010,1072222700
South America,,2011,1089016300
South America,,2012,1143936600
South America,,2013,1208385700
South America,,2014,1224245800
South America,,2015,1195139100
South America,,2016,1146173800
South America,,2017,1130036400
South America,,2018,1077709600
South America,,2019,1084625800
South America,,2020,979441100
South America,,2021,1079731200
South America,,2022,1096152800
South America,,2023,1108965000